feature_order,feature,feature_type,time_boundary,core_model
1,age,numeric,T0_pre,True
2,sodium_last,numeric,T0_pre,True
3,creatinine_last,numeric,T0_pre,True
4,bun_last,numeric,T0_pre,True
5,chloride_last,numeric,T0_pre,True
6,potassium_last,numeric,T0_pre,True
7,bicarbonate_last,numeric,T0_pre,True
8,glucose_last,numeric,T0_pre,True
9,heart_rate_last,numeric,T0_pre,True
10,mbp_last,numeric,T0_pre,True
11,resp_rate_last,numeric,T0_pre,True
12,spo2_last,numeric,T0_pre,True
13,temperature_last,numeric,T0_pre,True
14,uo_mlkghr_6hr_clean,numeric,T0_pre,True
15,uo_mlkghr_12hr_clean,numeric,T0_pre,True
16,gender,categorical,T0_pre,True
17,invasive_vent_pre_t0,binary,T0_pre,True
18,noninvasive_vent_pre_t0,binary,T0_pre,True
19,hfnc_pre_t0,binary,T0_pre,True
20,supplemental_oxygen_pre_t0,binary,T0_pre,True
21,tracheostomy_pre_t0,binary,T0_pre,True
22,ventilation_no_record_pre_t0,binary,T0_pre,True
23,loop_diuretic_pre_t0,binary,T0_pre,True
24,vasoactive_pre_t0,binary,T0_pre,True
25,rrt_pre_t0,binary,T0_pre,True
26,iv_isotonic_crystalloid_pre_t0,binary,T0_pre,True
27,dextrose_or_hypotonic_fluid_pre_t0,binary,T0_pre,True
